time,joint1
0.000000,0.000000000
0.010000,0.000009851
0.020000,0.000077619
0.030000,0.000257996
0.040000,0.000602214
0.050000,0.001158125
0.060000,0.001970266
0.070000,0.003079934
0.080000,0.004525261
0.090000,0.006341279
0.100000,0.008560000
0.110000,0.011210481
0.120000,0.014318899
0.130000,0.017908626
0.140000,0.022000294
0.150000,0.026611875
0.160000,0.031758746
0.170000,0.037453764
0.180000,0.043707341
0.190000,0.050527509
0.200000,0.057920000
0.210000,0.065888311
0.220000,0.074433779
0.230000,0.083555656
0.240000,0.093251174
0.250000,0.103515625
0.260000,0.114342426
0.270000,0.125723194
0.280000,0.137647821
0.290000,0.150104539
0.300000,0.163080000
0.310000,0.176559341
0.320000,0.190526259
0.330000,0.204963086
0.340000,0.219850854
0.350000,0.235169375
0.360000,0.250897306
0.370000,0.267012224
0.380000,0.283490701
0.390000,0.300308369
0.400000,0.317440000
0.410000,0.334859571
0.420000,0.352540339
0.430000,0.370454916
0.440000,0.388575334
0.450000,0.406873125
0.460000,0.425319386
0.470000,0.443884854
0.480000,0.462539981
0.490000,0.481254999
0.500000,0.500000000
0.510000,0.518745001
0.520000,0.537460019
0.530000,0.556115146
0.540000,0.574680614
0.550000,0.593126875
0.560000,0.611424666
0.570000,0.629545084
0.580000,0.647459661
0.590000,0.665140429
0.600000,0.682560000
0.610000,0.699691631
0.620000,0.716509299
0.630000,0.732987776
0.640000,0.749102694
0.650000,0.764830625
0.660000,0.780149146
0.670000,0.795036914
0.680000,0.809473741
0.690000,0.823440659
0.700000,0.836920000
0.710000,0.849895461
0.720000,0.862352179
0.730000,0.874276806
0.740000,0.885657574
0.750000,0.896484375
0.760000,0.906748826
0.770000,0.916444344
0.780000,0.925566221
0.790000,0.934111689
0.800000,0.942080000
0.810000,0.949472491
0.820000,0.956292659
0.830000,0.962546236
0.840000,0.968241254
0.850000,0.973388125
0.860000,0.977999706
0.870000,0.982091374
0.880000,0.985681101
0.890000,0.988789519
0.900000,0.991440000
0.910000,0.993658721
0.920000,0.995474739
0.930000,0.996920066
0.940000,0.998029734
0.950000,0.998841875
0.960000,0.999397786
0.970000,0.999742004
0.980000,0.999922381
0.990000,0.999990149
1.000000,1.000000000
