time,joint1
0.000000,0.000000000
0.010000,0.000004265
0.020000,0.000033610
0.030000,0.000111716
0.040000,0.000260767
0.050000,0.000501483
0.060000,0.000853150
0.070000,0.001333651
0.080000,0.001959496
0.090000,0.002745856
0.100000,0.003706590
0.110000,0.004854283
0.120000,0.006200268
0.130000,0.007754666
0.140000,0.009526411
0.150000,0.011523285
0.160000,0.013751947
0.170000,0.016217963
0.180000,0.018925843
0.190000,0.021879064
0.200000,0.025080107
0.210000,0.028530489
0.220000,0.032230787
0.230000,0.036180677
0.240000,0.040378962
0.250000,0.044823601
0.260000,0.049511746
0.270000,0.054439765
0.280000,0.059603283
0.290000,0.064997202
0.300000,0.070615744
0.310000,0.076452473
0.320000,0.082500329
0.330000,0.088751661
0.340000,0.095198257
0.350000,0.101831374
0.360000,0.108641771
0.370000,0.115619739
0.380000,0.122755132
0.390000,0.130037399
0.400000,0.137455616
0.410000,0.144998515
0.420000,0.152654516
0.430000,0.160411759
0.440000,0.168258134
0.450000,0.176181313
0.460000,0.184168782
0.470000,0.192207870
0.480000,0.200285780
0.490000,0.208389625
0.500000,0.216506452
0.510000,0.224623279
0.520000,0.232727124
0.530000,0.240805034
0.540000,0.248844122
0.550000,0.256831590
0.560000,0.264754770
0.570000,0.272601145
0.580000,0.280358388
0.590000,0.288014389
0.600000,0.295557288
0.610000,0.302975505
0.620000,0.310257772
0.630000,0.317393165
0.640000,0.324371133
0.650000,0.331181530
0.660000,0.337814647
0.670000,0.344261243
0.680000,0.350512575
0.690000,0.356560431
0.700000,0.362397159
0.710000,0.368015701
0.720000,0.373409621
0.730000,0.378573138
0.740000,0.383501158
0.750000,0.388189302
0.760000,0.392633942
0.770000,0.396832227
0.780000,0.400782117
0.790000,0.404482415
0.800000,0.407932796
0.810000,0.411133840
0.820000,0.414087061
0.830000,0.416794941
0.840000,0.419260957
0.850000,0.421489619
0.860000,0.423486492
0.870000,0.425258238
0.880000,0.426812636
0.890000,0.428158621
0.900000,0.429306313
0.910000,0.430267048
0.920000,0.431053407
0.930000,0.431679253
0.940000,0.432159753
0.950000,0.432511421
0.960000,0.432752137
0.970000,0.432901188
0.980000,0.432979294
0.990000,0.433008638
1.000000,0.433012904
